ID,X,Y,Type,Demand
585,47.4,308.8,B,35
97,396.6,515.8,C,12
334,163,329.6,A,17
912,234.6,516.6,A,25
1139,88.6,610,B,27
790,246.4,492.6,A,28
765,311,640,C,48
1102,125.4,617.6,A,23
699,303.4,426.6,A,20
919,235.4,588.6,B,10
20,372.8,187.6,A,50
267,279.4,257,C,16
288,233.2,241.6,C,46
499,225.4,319,C,17
345,140,227.4,A,31
61,371.8,315.2,A,14
51,395.6,370.4,C,30
948,211.8,532,B,25
218,325.4,248.6,B,22
194,175,229.2,B,10
143,113.4,107,B,42
1095,54.6,629.8,B,18
243,308,256.8,A,42
574,65.2,289.8,A,24
781,257.2,419.2,C,10
179,289.8,149,B,24
1157,73.6,676.2,C,13
547,134.8,319.8,A,26
489,233.2,300,B,34
638,351.4,539,C,26
18,373.2,171.8,C,10
168,189.4,142.6,C,18
494,233.6,338.8,C,17
583,48,293.4,B,15
929,222.6,493.4,C,44
726,303.8,531.8,A,33
560,109.4,351.4,C,25
733,294.6,535.4,C,50
199,135.6,150,B,16
221,325.4,225.8,B,14
512,210.4,372.2,A,47
843,197.6,418,A,35
74,396,418.4,B,37
1007,133.8,515,B,50
1118,119.8,668.2,B,21
721,303.4,492.4,B,27
576,71,301.2,B,48
127,398,651.4,A,40
682,328,612.6,A,31
782,256.8,427,A,41
1032,110.8,517,A,13
743,281,539.8,A,24
737,280.4,493.2,B,24
1023,118.2,469.4,C,14
80,406.2,475.2,C,41
622,327.2,442.4,C,40
558,122,382.4,A,27
265,285,245.6,C,21
149,304.8,141.4,A,41
341,139,182.6,A,30
1040,96.2,525.6,B,38
1154,73,645.8,A,39
1064,49,503.6,B,44
1038,95.6,510,C,31
777,264.6,426.6,B,48
77,396.2,456.8,C,31
577,71.2,309,C,15
315,187.2,242,A,44
600,48,388.4,C,23
89,373,418.6,B,29
997,125.6,476.2,C,18
833,221,454.8,B,42
898,72,428.2,B,11
322,180,265.2,C,41
249,302,225.4,C,41
422,349.6,380.4,B,13
946,211.4,516.6,A,18
698,303.2,418.6,A,11
705,304,475.6,A,21
529,163.6,387.6,B,39
815,269,667.4,C,44
178,297.8,149,C,20
708,292,434.4,B,39
152,281.8,141.6,B,30
874,141.6,436.4,C,34
368,108,275,A,50
184,251.6,149.4,A,10
391,46.8,198.8,C,36
659,330.4,582.2,A,48
615,350.4,475.2,C,38
621,327.4,434.8,B,44
353,112.8,189,B,17
1,403.4,132.6,A,41
323,172,265.4,B,48
1019,145.4,542.4,A,28
998,164.2,483,A,34
822,234.2,412,A,33
247,311.6,240.8,B,37
897,71.8,420.8,A,27
479,256.6,338.4,A,30
1073,161,564.6,A,12
228,340.6,197,B,47
961,203.8,489.6,C,27
923,235.6,621,B,22
1107,119.8,621.2,A,33
651,327.6,523,A,14
1129,88,588.8,B,47
244,302.2,257,C,23
290,233,257.8,A,37
630,358.6,558.2,C,32
83,386.6,441.8,B,18
709,288,442.2,C,13
136,374.2,620.8,C,13
237,348.8,249.4,A,45
321,179.8,256.8,C,43
201,344.2,156.4,B,41
656,327.8,562.2,C,26
374,70.8,228.2,B,43
1155,73.4,653,B,37
974,188.4,540.2,A,19
892,89.2,413.2,A,21
418,348.6,344.8,C,46
795,257.4,516.2,B,48
86,372.8,395.8,B,44
192,189.4,150.2,B,42
837,197.2,386.8,A,38
30,371.2,210.6,A,45
1131,96.2,606.2,A,29
1050,71.6,469.2,C,23
101,397.2,530.6,C,25
385,63,189.4,A,11
356,128,211.8,C,15
1054,72.2,517.8,C,48
160,220.2,142.4,B,35
1125,88.6,579.6,B,37
1162,49.4,608.2,A,14
1120,106.4,673.8,A,38
804,258.6,597,C,43
885,95,396.8,A,11
1124,80.6,573,B,50
930,222.8,500.6,A,11
147,49.6,112.2,B,39
767,295.2,639.6,B,19
985,190,652.2,B,18
1061,49,469.6,C,15
2,403.4,140.6,B,36
15,373,148.4,B,16
580,71.4,332,B,48
44,395.6,314.6,C,38
990,182.4,688.2,C,33
774,269,466.2,B,38
281,251.4,191.6,C,21
847,205.6,447.2,C,22
498,233.6,372.2,B,41
196,158.4,229.6,A,23
441,302.8,307.6,C,18
1086,142,613.8,A,29
800,264.2,572.6,A,37
286,233,226.4,A,25
16,373,156,B,37
706,297.8,411.6,A,13
216,325.4,264.6,A,34
1104,118.8,598,A,43
817,249.6,679.2,A,49
488,233.2,309.4,B,44
246,302.2,241.2,A,17
431,326.4,346.2,A,10
495,233.8,346.6,A,29
665,359,650.6,A,39
650,327.2,515.6,C,20
436,326.6,386.2,C,48
649,327.2,508.4,B,35
175,127.6,142,A,50
118,407.4,643.6,A,14
262,278.8,225.4,B,38
261,279.2,218.4,C,16
819,233.4,387.8,B,18
925,235.8,637.2,B,26
58,372.2,291.2,A,48
141,351.6,108,C,41
579,71.2,324.8,A,38
140,374.8,651.6,A,45
268,279.6,267.8,C,13
918,234.6,572.4,A,43
62,372,322.8,B,25
519,187,316,C,49
914,234.4,532.2,B,37
1160,49.6,588.8,B,42
92,373,442.8,B,12
455,279.8,299.8,C,34
1082,165.8,643.4,C,41
1126,92,567.4,C,19
96,396.4,491.8,C,32
1110,119.6,645,A,23
827,234.8,467.8,B,20
1048,80.8,542.4,A,27
535,164.6,372.8,A,21
937,223.6,561.2,C,31
90,372.8,427.2,A,25
1141,90.8,634.8,A,48
859,163.8,397,B,39
565,94.6,301.2,C,47
768,287,639.6,A,38
528,162.6,283.6,A,44
725,303.6,524.2,A,11
259,279,197.4,C,36
799,258.2,547.4,C,47
401,40.2,228.2,B,17
429,326.4,330.2,B,43
908,234.2,483.6,A,10
381,65.2,158.4,C,45
361,117,235.2,C,22
1117,114.2,659.2,A,42
181,274.6,149,B,47
357,116.6,211.6,B,36
832,223.6,469,A,22
121,397.8,604,C,36
466,280.6,387.2,C,23
75,396,442,B,39
9,406.2,193.2,B,11
932,222.8,520,B,13
821,234.2,404.4,C,17
459,280.2,330.2,C,24
1045,88.2,541.2,B,38
796,258,523.8,B,48
45,395.6,322.2,B,42
457,279.2,315,A,39
8,403.8,187,C,46
333,163.2,223.4,C,44
409,360.8,345.6,C,11
1025,118.4,494.6,B,24
920,235.4,598,C,15
242,316.2,264.6,A,11
895,71.4,405,A,39
851,213,454.4,C,44
802,254.4,581.8,C,50
520,187,323,A,40
1027,118.6,509.8,C,22
138,374.6,636,C,26
841,212.4,417.8,B,12
880,118.2,428.4,A,12
664,365,642.4,A,38
955,212.4,621.4,B,29
214,112.2,158,A,21
1034,95.4,469.2,A,13
972,188.6,524.2,A,38
502,210.4,291.8,B,16
755,310.4,618.4,A,41
109,373.8,508.8,A,17
835,212.8,387.6,A,32
394,47.6,228,B,48
740,280.6,516.6,C,19
538,140.6,282.4,C,21
903,48.2,412.8,C,27
598,47.6,360.8,A,48
957,212.6,636.4,B,45
154,266.4,141.8,A,33
189,212,149.4,A,43
420,348.8,361.4,A,23
257,305.6,187,B,28
525,187.8,362.8,C,49
992,178.2,613.2,B,43
54,405,345.8,C,44
671,351,627.2,A,26
424,326.6,292,C,17
130,380.8,620.6,B,46
753,286.8,588,B,50
797,257.8,531.8,C,34
55,407.2,370.8,A,32
939,217.4,539.6,A,47
1128,98.6,589.2,C,19
251,301.6,210.4,A,24
893,83.2,436.2,A,17
1143,80.4,604.2,B,22
793,257.6,500,B,30
660,328,588.2,B,31
1011,149.4,528.8,A,16
47,395.4,337.6,C,31
521,187.2,331,C,23
434,326.2,371,A,49
307,203.8,245.2,C,10
786,273.8,511.8,A,35
303,210,265.6,A,43
945,211.4,509,B,18
858,164,369.2,A,30
1112,101.8,606.8,A,28
584,48,301.2,C,38
134,374.2,605.4,B,15
1005,149.4,514.8,A,45
304,210,275.6,A,20
1018,134.2,536.6,A,33
158,236,142,A,40
553,117.2,308.4,A,17
582,47.4,283.4,B,36
27,394.8,256.8,B,10
110,374,515.6,B,19
1109,119.6,637,A,36
115,391.6,566,B,33
887,94.6,412.6,C,20
463,280,361.6,A,30
312,187.2,219.4,B,43
446,303.2,346,C,38
94,373,458.2,A,26
776,257.2,476,B,20
151,289.4,142,A,23
465,280.4,361.6,B,42
335,163.2,336.8,A,30
926,235.6,644.6,C,15
515,186.6,282.2,A,10
273,256.4,264.4,C,43
852,205.8,454.8,B,33
508,210,339.2,A,24
526,176,292.6,B,35
991,176,580.6,A,22
449,303,371,A,34
645,340.4,542.6,C,20
254,290,187,A,23
105,381.2,523.2,C,49
1134,95.8,630.2,C,28
410,361.2,361,B,27
313,187,226.8,A,15
239,348.6,264.4,C,13
382,65.2,262.4,B,23
812,258.6,635.8,A,28
238,348.6,256.8,C,10
886,94.6,405.2,C,14
371,82.8,215.8,B,36
50,395.8,361.2,C,20
962,196.4,505.6,A,30
554,117.6,316.6,C,34
277,256,234,A,16
1067,49.4,525.4,B,26
351,128.4,188.6,B,19
329,163.4,291.6,C,32
56,386.2,355,B,47
28,388.6,222,A,11
123,398,619.8,B,16
784,258,443.4,C,45
473,256.4,291.8,C,16
693,317.4,688.2,B,38
954,212.2,613.6,C,10
99,397,515.2,B,49
675,351,596.8,B,38
661,366.6,599.4,B,21
672,350.8,619,A,19
389,59,254.6,A,42
545,141,339.6,C,37
596,57.4,358.4,A,36
643,345.4,565,C,28
677,341.8,631.4,C,25
344,139.8,219,B,30
527,163,292.6,B,16
792,258.2,492.8,B,21
762,295.2,632.8,C,42
6,403.8,171.2,A,27
38,406.8,272,C,12
317,187.2,257.4,C,35
564,94.2,293.8,B,26
505,209.8,315.6,B,19
483,257,372,B,35
1046,79.8,494.2,B,28
380,71.6,276.6,A,29
365,124.6,258,C,37
1098,152,675.2,B,48
11,392.8,180.2,C,27
298,209.8,226.8,B,12
176,312.8,149,C,31
59,371.8,299.6,C,48
284,232.8,211.4,C,23
275,255.6,248.6,C,10
1171,52.6,669.2,B,42
641,351.2,562.6,B,18
1049,79.8,463.8,B,34
610,350.6,434.8,A,43
1015,157.2,536.2,B,34
626,327,483.2,C,30
36,371.4,257.2,A,30
213,119.6,158.4,A,44
1012,141.4,528.8,B,16
533,164.4,418.4,A,27
264,279.2,241.4,A,10
734,290.2,506.4,C,16
644,341.2,551,B,19
475,256.8,307.6,A,36
487,233.2,282.2,B,12
1070,49.4,547.6,C,26
340,146,227.8,B,25
1133,96.6,621.8,B,17
204,320.4,156.8,C,28
662,362.4,623,C,19
155,258.6,141.8,A,49
973,188.4,532.4,C,17
967,188.2,483.6,C,25
872,141,419.4,B,22
370,81.2,251,B,42
902,48.4,405.6,A,42
398,47.8,259,B,41
625,327,465.4,A,19
844,189.6,417.8,A,25
1116,104.2,649,C,11
453,280,282.2,C,41
673,351.4,612.4,A,21
975,188.6,548.2,C,27
395,47,235.8,A,19
513,199,327.2,C,23
746,281,562.6,A,15
829,220.8,398.8,A,15
433,326.4,361.2,C,31
701,303.2,442.6,A,28
57,380.2,377.4,A,24
1059,61.4,526.2,C,27
169,181.6,142.2,C,16
84,384.6,450,A,35
834,220.8,447,B,27
1115,108.2,638.8,A,33
5,403.2,163.4,A,17
310,186.8,197.8,B,35
544,140.4,331.6,A,22
362,116.8,243,C,11
952,211.8,597.6,A,45
7,403.8,179.2,A,40
871,141,412,A,16
511,210.2,362.4,A,29
722,303.6,501,B,27
1062,49.2,485,B,35
738,281,500.6,B,19
107,373.4,492.4,B,46
791,251.8,496.2,A,23
128,398.6,673,A,22
617,326.8,404,B,37
732,298.4,547.2,C,49
379,70.8,269,B,44
481,257,354,B,11
296,209.8,211.6,B,33
820,233.8,396.8,B,11
1041,96,534,A,22
470,271.6,315.2,A,20
870,140.6,404,A,29
1121,97,683.6,B,34
663,365.2,635.2,A,49
421,349.8,371.2,B,35
982,189.6,629.6,A,46
119,407.6,672.2,C,15
100,396.8,523.2,C,48
823,234.2,419.6,B,35
183,259.2,149,A,34
741,280.8,524,C,28
223,325.2,210.2,B,24
602,358.4,411.6,C,30
88,373,411.2,C,18
846,212.6,447.2,A,42
1077,165.4,605,A,14
1122,104.4,689,C,25
1002,133.6,484.2,B,11
860,163.8,404.2,B,49
678,337.4,602.6,C,35
336,163.4,361.4,C,15
719,280.6,458.2,B,25
373,70.8,220,B,25
1030,119,533.4,C,39
958,212.4,645,A,22
1127,97.8,573.4,B,13
190,204.6,149.6,A,49
548,128.6,281.4,C,18
735,290.8,500,A,10
235,348.2,232.8,C,24
440,302.8,299,B,42
1001,141.6,484.4,B,44
567,93.8,316.6,B,25
330,163.2,299.2,A,16
390,59.2,276.6,C,37
26,394.8,249,C,50
524,187.4,354.6,C,33
685,328.4,636,A,35
454,279.4,291.4,B,37
1135,96.2,637,C,35
163,197,142.2,A,32
747,318.2,624.2,B,25
968,187.8,492.8,A,43
1053,72.4,510,C,20
438,318.4,307.2,A,25
135,374.8,613.2,A,12
1151,73,622.2,A,48
187,227.8,149.6,C,36
64,371.6,338.2,B,20
556,117.4,331.8,A,26
543,140.4,323.8,B,37
839,182.2,387.2,A,13
716,280.8,435.4,B,41
789,270.2,554.6,A,11
814,258.8,651,A,28
633,350.6,499.6,A,30
581,71.4,340,A,14
404,33.2,181,A,19
1079,165.6,620.8,C,16
378,70.8,258.4,C,42
542,140.2,315.8,A,24
376,70.6,243.2,B,42
229,344,186.8,B,45
917,235,557.4,A,49
938,223.4,572.6,A,22
437,316,291.2,C,49
669,351.6,642.8,B,30
668,351.4,650.2,B,33
397,47.6,251.8,B,21
116,406.8,571.4,B,14
165,181.6,141.8,A,28
111,373.4,523.8,B,38
943,211.4,493.2,A,39
1105,119.4,605.6,B,26
172,150.6,142.4,C,19
305,203.8,264.6,A,46
72,395.6,419.4,C,50
255,286.8,181.2,A,13
769,279.8,640,A,23
232,348.6,210.4,C,28
131,374,571.8,B,18
1142,89,649.4,C,29
1164,50.4,621.8,B,37
614,350.4,465.8,B,27
413,349.6,306.6,A,35
888,95,420.6,C,46
806,258.4,613.2,B,34
981,189.4,621.6,A,35
1071,55.4,552.2,B,29
82,384.4,418.6,A,19
1029,119.2,524.8,C,24
1136,96.8,644.6,B,34
319,179.2,293.2,A,13
537,147.8,304.4,A,42
439,302.8,291.6,C,23
913,234.2,524,A,45
619,327,419.2,C,15
979,189,606,A,22
1148,73,598.4,A,16
43,395,307.2,B,38
988,186.2,659.8,A,38
1080,165.8,628.6,C,30
1057,72.6,541.2,C,43
549,125.2,296.6,C,39
427,326.2,314.6,B,37
129,384.2,596.6,B,36
778,256.8,396,A,29
658,323.8,578.4,B,18
452,287.2,307.6,B,11
910,234.4,501,B,48
563,94.6,283,A,14
813,259,643.8,B,32
648,327.4,500,B,48
510,210.4,354.4,C,47
523,187.2,346.8,C,27
687,328.2,650.8,C,22
978,189.2,597.8,C,50
467,272,379,C,47
415,349.2,322.2,A,47
882,118.6,443.4,C,49
676,345.2,600.4,A,44
636,350.8,523,C,32
901,48.4,397.4,C,45
170,174.4,222,A,11
694,303.4,666.6,A,37
566,94.4,309.2,C,12
551,117.6,293.2,A,47
984,189.6,644.4,A,38
76,396.4,449.6,C,23
744,281,547.6,A,47
756,303,618.6,B,33
1165,50.6,630.6,C,28
711,280,396,C,27
539,140.6,292.6,C,35
695,303.4,395.8,B,23
366,117.2,257.8,A,46
53,405.2,329.6,A,20
922,235.6,613.6,A,33
1111,119.8,668,C,20
686,328.2,643.4,B,23
145,102.2,111.6,C,40
69,395.8,395.6,C,33
314,187.2,235,A,49
509,210.4,346.6,A,11
403,34,199.2,A,22
328,176.6,375.2,B,32
879,118.2,419.8,A,12
1092,134.4,598.6,C,40
624,327.2,458,C,47
568,94,227.4,A,19
258,313.6,186.6,B,11
252,294.8,208.6,C,24
367,117,268,B,21
690,336.2,671.6,C,14
595,65.2,362.4,A,20
1147,68.4,582.2,A,15
703,303.6,458,A,35
561,109.6,304,B,38
364,129,250,A,25
1009,164.8,528.2,B,20
13,372.4,133.2,C,31
493,233.4,331,C,49
681,328,604.8,C,29
180,281.8,149.2,C,26
271,265.8,233.8,C,43
702,304,450.2,C,41
40,356.2,278,B,35
570,94.6,339.8,B,24
377,70.8,252,C,50
125,397.8,635.6,C,42
1130,95.8,598.4,A,18
631,358.6,515.8,B,39
710,286.4,404.2,C,47
393,47.6,220.6,A,29
500,226.2,362,C,38
770,270.4,397.6,B,40
996,123.6,459,C,49
696,302.8,403.4,C,10
609,350.4,426.8,C,23
588,48,332.4,C,50
571,95,351.8,A,47
485,243.6,296.4,B,12
507,210.2,331.2,C,45
1051,72.6,494.2,A,44
730,304.6,562,C,23
810,266.2,628,C,34
400,39.6,241.4,A,34
517,186.8,299.6,C,23
293,221.4,230.2,B,35
185,243.2,149.6,B,34
506,210.2,323.4,B,37
731,304.2,572.2,B,49
309,194.8,234.4,C,31
944,211.4,501,A,19
620,326.6,426.6,C,41
419,350.2,353.6,B,25
355,108.4,198.6,A,45
396,47.4,243.2,A,18
848,198.4,447.6,C,34
417,349.8,338,C,33
989,182,666.8,B,22
343,140.6,211.6,C,47
65,372.2,346.2,A,19
808,253.2,624.8,A,32
29,383,230,C,42
133,374.4,597.4,C,14
71,395.8,411,B,50
325,172.2,306.6,A,25
666,363.2,659,A,36
712,279.8,403.4,C,13
274,256.4,257.2,B,28
1069,49.4,541,C,10
652,327.4,531,C,32
227,336.6,186.6,B,39
354,105,188.6,B,18
372,70.8,211.2,B,32
601,358,399.2,A,36
327,171.8,265,C,23
869,141.2,397,C,10
1153,73.2,637.4,C,16
1037,95.8,502.4,A,13
728,304,546.6,A,45
85,372.4,386,C,39
692,317,666.2,C,49
17,373,164,B,35
742,280.6,531.6,C,20
783,257.2,434.6,B,38
840,201,395,A,46
1008,126,525.2,B,27
342,140.4,198.2,C,46
22,394.2,218,A,24
1000,148.6,484,A,32
1108,119.6,629.4,C,10
714,280.6,418.8,B,44
137,374.6,627.6,A,35
245,302.4,249.2,B,43
210,196.6,161.4,A,25
318,187,265.4,C,22
289,233,249.2,A,26
562,102,342.8,C,34
443,302.8,323.4,C,48
688,346,666.6,C,36
516,187,292,C,31
607,350.2,411.4,B,36
670,351,635.2,A,46
759,279.6,618.4,B,19
604,358,446.6,A,25
472,266.2,291.6,A,25
302,210.4,257.8,A,42
471,271.6,291.4,B,46
1003,164.6,514.2,A,23
941,220.2,612.8,A,42
39,372,278.4,C,23
63,372.2,330.2,B,21
430,326.6,338.4,B,32
883,103.2,409,A,40
12,388.2,186.8,B,41
1081,165.8,540,A,45
456,279.8,307.4,A,19
156,251.4,141.4,A,17
534,169.8,345.8,B,31
514,193.4,331.2,B,38
788,273.6,547.2,A,18
724,303.8,516.2,C,30
589,48.2,340,A,27
70,395.8,403,A,22
491,233.4,315.2,C,36
956,212.4,628.8,A,43
761,303,632,A,36
773,272.8,458,B,48
924,235.4,628.6,A,27
965,194.8,610.2,B,47
42,395.2,298.8,C,37
360,128.2,227,C,40
632,350.4,491.8,B,12
1169,42.6,654.6,C,36
629,366.4,565.8,A,35
167,166.4,222.2,B,14
684,328.6,628.2,C,23
383,65.2,174,B,18
1091,142.8,651.4,C,28
904,49,421,C,24
889,94.8,428.2,A,49
1093,129.4,603,B,17
215,104.2,158,C,37
1013,134,529.2,C,21
653,327.8,539.8,A,28
751,302.8,587.6,C,49
805,259,605.6,C,28
399,48.2,268.8,C,23
202,336.2,156.4,C,37
34,371.4,241.4,B,34
120,397.6,597,C,37
1084,142.4,597.4,B,12
270,268,259,C,25
287,233.2,234,C,46
905,48.8,429.2,A,12
816,259.4,667,A,50
451,295,349.6,B,32
1017,141.4,536.2,C,41
1033,107.4,548.6,C,29
752,295.4,588.2,C,25
469,268,353.8,B,21
1089,143,637,C,23
971,188.6,517.2,C,44
182,266.8,149.2,A,30
161,212.2,142,A,28
861,164,411.6,B,41
386,54.8,189.2,B,43
233,348.4,218,B,45
504,209.4,307.2,B,11
411,349.2,291.2,C,31
346,140.2,235.2,A,47
642,351.2,571.6,C,22
14,372.6,141,B,40
460,279.6,338.2,B,11
477,256.4,323.2,B,17
864,164.6,435.8,B,49
862,164,419,A,13
1158,62.2,637,A,10
909,234,493.2,B,21
657,328,571.8,B,33
445,302.6,338.4,B,24
680,327.6,597,B,47
597,47.6,351.2,A,12
66,372,353.6,C,10
461,279.6,345.8,C,44
369,94.6,268.4,A,44
884,100.8,420.6,B,40
655,327.6,555.2,A,41
198,142.8,150,A,10
1137,97,651.8,C,37
739,280.6,508.8,C,40
953,212.4,606.4,A,28
593,79.4,378.4,B,33
324,171.8,274.2,A,23
203,328.2,156.8,A,39
828,226.4,398.2,A,21
211,205,169,C,34
250,302,218.2,C,19
153,274,141.8,C,41
801,247,578.2,A,13
276,256.2,241.8,A,10
634,350.2,507.8,B,19
654,327.8,546.6,C,38
104,387.4,539.2,A,44
217,325,256.4,A,36
1004,156.8,514.6,C,39
729,304.2,555,C,45
1065,49.2,510.4,A,44
736,280.6,483.4,B,20
225,321.2,187,A,50
963,194.4,540,A,17
573,76.6,320.2,C,42
447,303,354,C,39
157,243.2,141.8,B,47
402,40,204.8,C,13
586,48.2,317,B,11
193,182,149.4,C,21
750,310.8,587.8,C,48
1097,166.2,682.8,C,37
19,372.8,179,B,40
46,395.4,330.2,A,37
1036,95.6,495,B,47
234,348,225.8,B,45
406,33.2,165.2,C,48
713,280.2,411.6,A,33
787,265.4,519.6,A,14
552,117.2,300.8,A,31
960,212.8,667.8,A,44
408,363.2,330.4,B,34
272,256,274.4,C,32
764,279.2,632.2,C,29
838,189.4,386.8,C,49
785,251.8,415.2,B,33
540,140.6,300.8,B,14
132,374.4,587.6,A,29
1075,141.8,572.6,B,36
197,150.2,150.4,B,22
474,256.2,299.8,C,48
969,188.4,501,A,49
67,373,457.4,B,46
1106,119,613.8,C,36
292,217.6,209.8,A,48
24,394.8,233.6,C,39
1043,88,494.4,C,18
983,189.6,636.4,C,26
146,92.4,111.6,A,20
468,272.2,365,B,33
208,290,156.8,A,28
1170,44.2,662.6,A,17
836,205,387,B,50
278,256,226.4,B,25
144,114,115.6,A,48
627,317.6,449.4,A,42
1119,111.6,675.8,A,43
863,164.2,426.8,A,48
219,325.4,241,B,23
49,395.8,353.4,C,48
830,230,458.2,B,31
338,153.6,239,A,41
171,157.8,125.4,B,21
603,358,419.2,B,31
108,373.8,500.4,C,33
486,243,308.2,C,31
557,117.8,339.2,A,44
803,264,588,C,22
41,395.2,291.2,C,46
647,327.6,492.2,C,34
1166,50.2,638.2,B,31
240,302.6,274.6,B,25
1068,49.6,533.6,A,49
966,201,626,C,50
916,234.4,547.6,A,28
811,272.4,616.8,A,16
326,172,336.6,B,16
951,212,573,C,19
195,166.6,229.4,A,13
1138,94,668.8,A,20
849,189.4,447.4,A,28
102,396.8,534.2,B,35
458,279.6,323,A,39
260,279,211,A,12
942,220.4,620.8,A,17
